image_id,dataset,class_label,orig_split,source_image,source_mask,width,height,n_lesions,lesion_area_px,lesion_ratio,contrast,edge_sharpness,mean_intensity,image_hash,split
test_0000,TN3K,nodule,test,0000.jpg,0000.jpg,365,332,1,4083,0.03369367882488859,0.10909604287647157,61.94230646580758,65.78933817461628,6a484f765eec9d0c96ea948f064db9f4,
test_0001,TN3K,nodule,test,0001.jpg,0001.jpg,989,689,1,55835,0.08193906557033023,0.12802532395573624,44.71298957241149,65.79406270132561,3a316564909e709710ae560e63bc55bf,
test_0002,TN3K,nodule,test,0002.jpg,0002.jpg,499,334,2,19205,0.11523046092184369,0.05311244895000495,77.97685822727757,92.86538346153385,7744d551ae7036954dfb0b5021d7c403,
test_0003,TN3K,nodule,test,0003.jpg,0003.jpg,496,334,4,20454,0.12346677612516901,0.08470337929686186,80.8659689357012,94.71856891056596,39d1bff287472921b26c0391e38fd070,
test_0004,TN3K,nodule,test,0004.jpg,0004.jpg,402,356,1,1431,0.00999916149589133,0.07282728605068861,109.37560863278512,50.27396025490525,248fd36b10a94978630a1d2916d286a3,
test_0005,TN3K,nodule,test,0005.jpg,0005.jpg,591,472,1,27185,0.09745404227250566,0.035320409127417754,18.30075077944451,26.86154248759643,3994168f3f001c9b1c1311a41e9e19c4,
test_0006,TN3K,nodule,test,0006.jpg,0006.jpg,423,344,1,19056,0.13095827148276432,0.1978370855705727,137.18995451082515,66.14193331134202,b7bd4e8793123739e6b816f07aa65100,
test_0007,TN3K,nodule,test,0007.jpg,0007.jpg,421,345,1,4945,0.034045922406967535,0.2021362016955217,99.51942675857424,89.63017659816173,d1d92b466395d0f0468b83ee492aef58,
test_0008,TN3K,nodule,test,0008.jpg,0008.jpg,324,289,1,10191,0.10883634499551455,0.23890968056704526,107.7293074019964,33.659009355376135,7890e0a413e7db8e765338dcd004d832,
test_0009,TN3K,nodule,test,0009.jpg,0009.jpg,469,380,1,103393,0.5801425204803052,0.17824292231290229,73.44550220946867,38.11432499158344,54903e37500497c76257553bd6428c47,
test_0010,TN3K,nodule,test,0010.jpg,0010.jpg,466,379,1,33145,0.18766915420068625,0.15392778925358586,75.18436454572614,86.39723917696219,2ea6b36424355c9b77427a6b2db1f9ab,
test_0011,TN3K,nodule,test,0011.jpg,0011.jpg,465,381,1,29017,0.16378517201478848,0.008621510927803083,59.56298622644197,67.58137329607993,3412a717e5b69d47314dc02e1af2749b,
test_0012,TN3K,nodule,test,0012.jpg,0012.jpg,467,377,1,42044,0.23880630924860416,0.01045754092915603,70.23723664919461,69.41123714209441,54528015d4a1eb9e0066aab3be5474e2,
test_0013,TN3K,nodule,test,0013.jpg,0013.jpg,421,373,1,13923,0.08866289251303866,0.05297914008771181,58.02641683887304,61.26579763489203,9fa91d9d983519d6eeb55d48287d6327,
test_0014,TN3K,nodule,test,0014.jpg,0014.jpg,421,388,1,52895,0.3238178612532752,0.16013800775736947,61.128377877633845,41.59138159022455,349e6d3dbc406d9b329211229a8a96d7,
test_0015,TN3K,nodule,test,0015.jpg,0015.jpg,434,344,1,1414,0.00947111777944486,0.0052316935756644345,43.85631359465835,59.64118931518594,0d752804bf0897399391a38015db491f,
test_0016,TN3K,nodule,test,0016.jpg,0016.jpg,439,328,1,1880,0.013056280904494694,0.03322501209107254,98.2940020552676,59.28548113784099,e3c55ebc3179e6af69fd4b575f4f3474,
test_0017,TN3K,nodule,test,0017.jpg,0017.jpg,411,335,1,3379,0.024541525946907797,0.13457519489989941,83.62280086706384,100.20613719722554,f8ccca752284eabdcf4ec09521d99640,
test_0018,TN3K,nodule,test,0018.jpg,0018.jpg,418,391,1,61255,0.37479044041165455,0.06317922984682481,86.58936597846404,38.34714693033444,0f94c0cb2663a84a9bf41ce9c33ee516,
test_0019,TN3K,nodule,test,0019.jpg,0019.jpg,418,391,2,19928,0.12193002851234107,0.058816850191073224,40.26315508730473,34.884408766627104,c946a4ce764bdadd15f4846dd0e40a62,
test_0020,TN3K,nodule,test,0020.jpg,0020.jpg,314,280,1,30306,0.3446997270245678,0.13061127783402326,94.69836151668667,46.944347133757965,b7434318e87fcb96f6bce159599673ad,
test_0021,TN3K,nodule,test,0021.jpg,0021.jpg,880,733,1,181934,0.28205072553640087,0.3225238636096119,87.30107173274607,59.05264944809624,58dde744e47807af62b4c65041fd3e80,
test_0022,TN3K,nodule,test,0022.jpg,0022.jpg,416,366,1,13668,0.08976986128625473,0.05977864859236549,60.26882997476599,37.947831284153004,65fba312f917502636b7adaca457c64d,
test_0023,TN3K,nodule,test,0023.jpg,0023.jpg,434,346,1,6798,0.0452705042486881,0.15553134674681782,103.25662077238113,58.527676407128205,2bfceb5d89bddd9e715debc07ae155b8,
test_0024,TN3K,nodule,test,0024.jpg,0024.jpg,412,334,1,34149,0.2481614441020871,0.10578481120663431,80.3411182926318,87.09021277832684,3d4b09fa4d3c6f73a4c85fd4d25c6d4b,
test_0025,TN3K,nodule,test,0025.jpg,0025.jpg,451,353,1,30599,0.19220115198834192,0.16163905992333855,127.14235223314705,67.55467547722091,31cf04c628443e2e53a775b61c17bc44,
test_0026,TN3K,nodule,test,0026.jpg,0026.jpg,342,376,1,9326,0.07252395172327983,0.1802852509733239,71.37584814751717,85.49603396789847,b5dd4db9a9591d0e93dd58aa70ab51f2,
test_0027,TN3K,nodule,test,0027.jpg,0027.jpg,400,357,1,5531,0.03873249299719888,0.07924032728496272,59.91539794252585,72.51429971988796,32a5e1bbb113bcf7b635a472345bcf5c,
test_0028,TN3K,nodule,test,0028.jpg,0028.jpg,419,364,1,28151,0.18457735581840592,0.028645398129387278,55.08614206913527,54.95724383015553,3628ff33863d90150901e3d80a19c009,
test_0029,TN3K,nodule,test,0029.jpg,0029.jpg,434,351,1,51032,0.3350007220974963,0.2454233816992122,69.43429450609162,42.517704517704516,52129a5ac8a4a6e3805c901cf3625b81,
test_0030,TN3K,nodule,test,0030.jpg,0030.jpg,399,363,1,1127,0.007781160891208738,0.052925384200502926,124.62331892609511,42.40280453199114,f7e808431d1739b143ed94954ae3d2bb,
test_0031,TN3K,nodule,test,0031.jpg,0031.jpg,402,374,1,766,0.005094846622502461,0.14033590941899957,137.51028883973095,46.77040599143321,da91a7072f0bbe23f78441aebeac1c68,
test_0032,TN3K,nodule,test,0032.jpg,0032.jpg,419,386,1,21715,0.13426366750343155,0.02490957014166245,54.91458405501435,27.11739646580187,ed9c53f75fd98905ec966b6df41c796d,
test_0033,TN3K,nodule,test,0033.jpg,0033.jpg,420,384,1,4246,0.02632688492063492,0.08859967501815244,60.426581664059995,24.826686507936508,46220ea53561886ad4d9d203ab84ebef,
test_0034,TN3K,nodule,test,0034.jpg,0034.jpg,417,389,1,6381,0.03933716779789536,0.12172384935267873,82.45413574866978,32.145734312293094,aa8b9c2f6afef2002ee47e5f20bd6257,
test_0035,TN3K,nodule,test,0035.jpg,0035.jpg,475,366,1,3497,0.020115041702617197,0.15180892906488558,74.45648328260026,62.61866551624964,84b798fa87a792f41f62acbf4402f00f,
test_0036,TN3K,nodule,test,0036.jpg,0036.jpg,433,319,2,3277,0.023724543355028344,0.01354444058887191,67.32813663475349,50.63327227841045,da34c76f66be3994a988738c9553622e,
test_0037,TN3K,nodule,test,0037.jpg,0037.jpg,416,396,1,1212,0.007357226107226107,0.007286641159548953,37.15120078476773,64.24160474941725,da775d1362eb92136ad3cfebe6af04f4,
test_0038,TN3K,nodule,test,0038.jpg,0038.jpg,1399,752,3,147799,0.14048693595729472,0.004311905571261451,42.27971097372152,63.33085182425137,310132d24675ccd62c66337f4414f89b,
test_0039,TN3K,nodule,test,0039.jpg,0039.jpg,474,379,1,2629,0.014634336417176002,0.11237704033052295,115.27457141001364,40.31973436647629,14591e1630162deb168372f451bdd3e9,
